,Unnamed: 0,name,overall_rating,potential,value,wage,Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,FK_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive_Awareness,Standing_Tackle,Sliding_Tackle,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes
43,43.0,Luis Guillén,58.0,68.0,400000.0,500.0,14.0,7.0,12.0,19.0,8.0,6.0,14.0,14.0,28.0,17.0,23.0,21.0,38.0,47.0,25.0,38.0,33.0,35.0,69.0,9.0,19.0,14.0,7.0,28.0,14.0,28.0,9.0,14.0,13.0,60.0,54.0,50.0,57.0,64.0
14,14.0,Fernando Carlos De Paul Lanciotti,73.0,73.0,1600000.0,3000.0,11.0,15.0,12.0,39.0,13.0,18.0,19.0,12.0,25.0,35.0,37.0,44.0,33.0,72.0,65.0,47.0,67.0,36.0,65.0,12.0,15.0,24.0,14.0,64.0,21.0,66.0,18.0,12.0,14.0,74.0,66.0,63.0,73.0,75.0
56,56.0,Bernard Gabriel Prestão Chaves,79.0,79.0,11500000.0,25000.0,8.0,9.0,7.0,11.0,8.0,18.0,12.0,13.0,12.0,20.0,58.0,62.0,66.0,76.0,43.0,53.0,60.0,23.0,60.0,12.0,35.0,12.0,5.0,60.0,15.0,64.0,22.0,9.0,16.0,81.0,75.0,71.0,77.0,82.0
2,2.0,Robin Zentner,76.0,78.0,7000000.0,20000.0,17.0,14.0,18.0,30.0,15.0,11.0,14.0,16.0,27.0,16.0,65.0,65.0,30.0,74.0,45.0,44.0,60.0,27.0,81.0,13.0,38.0,18.0,10.0,22.0,25.0,32.0,21.0,17.0,13.0,77.0,73.0,59.0,71.0,81.0
6,6.0,Bingourou Kamara,70.0,75.0,1900000.0,9000.0,12.0,12.0,20.0,15.0,15.0,19.0,13.0,16.0,15.0,21.0,37.0,41.0,28.0,65.0,42.0,47.0,79.0,32.0,77.0,19.0,17.0,20.0,11.0,26.0,22.0,51.0,8.0,15.0,14.0,72.0,69.0,63.0,70.0,70.0
10,10.0,Tomasz Loska,63.0,67.0,525000.0,1000.0,19.0,19.0,16.0,28.0,20.0,17.0,11.0,21.0,28.0,24.0,36.0,38.0,35.0,57.0,48.0,44.0,70.0,23.0,62.0,17.0,17.0,22.0,11.0,38.0,27.0,52.0,21.0,16.0,13.0,65.0,60.0,59.0,61.0,67.0
12,12.0,Vanja Milinković-Savić,74.0,78.0,4600000.0,24000.0,18.0,20.0,12.0,31.0,16.0,15.0,55.0,59.0,30.0,18.0,41.0,45.0,38.0,63.0,38.0,59.0,58.0,33.0,73.0,45.0,34.0,21.0,12.0,58.0,24.0,65.0,11.0,15.0,19.0,74.0,71.0,78.0,74.0,75.0
19,19.0,Alex Meret,79.0,82.0,18000000.0,39000.0,15.0,17.0,19.0,29.0,20.0,16.0,20.0,21.0,22.0,22.0,41.0,48.0,37.0,74.0,48.0,53.0,68.0,29.0,65.0,17.0,22.0,22.0,20.0,21.0,21.0,67.0,10.0,21.0,12.0,79.0,75.0,70.0,79.0,82.0
33,33.0,Raúl Manolo Gudiño Vega,74.0,77.0,4200000.0,6000.0,21.0,17.0,15.0,24.0,14.0,21.0,20.0,18.0,22.0,23.0,45.0,49.0,31.0,71.0,39.0,47.0,51.0,40.0,74.0,12.0,34.0,21.0,14.0,51.0,11.0,47.0,19.0,14.0,19.0,73.0,76.0,62.0,70.0,76.0
35,35.0,Uğurcan Çakır,80.0,82.0,20000000.0,33000.0,15.0,13.0,14.0,32.0,20.0,14.0,18.0,20.0,27.0,24.0,53.0,56.0,49.0,78.0,58.0,54.0,81.0,40.0,67.0,19.0,27.0,25.0,14.0,60.0,23.0,60.0,17.0,18.0,16.0,80.0,77.0,72.0,81.0,82.0
39,39.0,Matthew Pyzdrowski,64.0,64.0,375000.0,2000.0,15.0,13.0,16.0,24.0,13.0,16.0,17.0,14.0,20.0,18.0,42.0,41.0,37.0,61.0,43.0,20.0,54.0,42.0,75.0,20.0,16.0,25.0,11.0,33.0,23.0,23.0,19.0,17.0,16.0,68.0,54.0,53.0,60.0,73.0
50,50.0,Daniel Lønne Iversen,73.0,78.0,3700000.0,33000.0,17.0,14.0,16.0,42.0,20.0,11.0,16.0,11.0,53.0,16.0,43.0,47.0,42.0,68.0,48.0,56.0,62.0,44.0,68.0,15.0,19.0,20.0,14.0,57.0,21.0,47.0,14.0,18.0,13.0,73.0,72.0,75.0,71.0,75.0
3,3.0,Fidel Castillo Alarcón,63.0,71.0,925000.0,1000.0,15.0,8.0,11.0,20.0,8.0,9.0,12.0,11.0,17.0,13.0,20.0,25.0,37.0,46.0,36.0,47.0,48.0,27.0,62.0,9.0,20.0,15.0,8.0,26.0,12.0,25.0,8.0,11.0,15.0,63.0,68.0,62.0,66.0,59.0
9,9.0,Ákos Onódi,50.0,66.0,110000.0,2000.0,13.0,5.0,13.0,15.0,6.0,7.0,13.0,10.0,22.0,16.0,31.0,21.0,36.0,31.0,21.0,35.0,33.0,23.0,60.0,8.0,27.0,6.0,7.0,32.0,17.0,22.0,8.0,13.0,11.0,49.0,52.0,47.0,44.0,62.0
43,43.0,David Hundertmark,53.0,58.0,110000.0,500.0,13.0,9.0,10.0,24.0,7.0,12.0,13.0,13.0,27.0,13.0,20.0,25.0,39.0,34.0,44.0,41.0,59.0,27.0,51.0,8.0,22.0,14.0,8.0,29.0,12.0,25.0,6.0,11.0,14.0,58.0,52.0,54.0,48.0,57.0
6,6.0,Matt Boylan,51.0,57.0,70000.0,500.0,13.0,10.0,13.0,22.0,10.0,13.0,12.0,13.0,18.0,18.0,28.0,23.0,24.0,37.0,45.0,41.0,52.0,15.0,33.0,10.0,21.0,12.0,10.0,33.0,14.0,22.0,10.0,13.0,13.0,57.0,53.0,55.0,43.0,54.0
7,7.0,Joel Jiménez Portero,63.0,73.0,925000.0,1000.0,14.0,7.0,14.0,27.0,8.0,11.0,13.0,14.0,27.0,14.0,28.0,26.0,64.0,62.0,44.0,43.0,68.0,28.0,69.0,6.0,35.0,9.0,5.0,40.0,13.0,30.0,8.0,11.0,12.0,62.0,63.0,57.0,60.0,65.0
19,19.0,Joel Torrance,53.0,61.0,180000.0,1000.0,11.0,8.0,18.0,29.0,8.0,10.0,17.0,15.0,26.0,11.0,41.0,38.0,37.0,38.0,26.0,40.0,44.0,28.0,68.0,8.0,19.0,12.0,6.0,35.0,19.0,38.0,5.0,12.0,15.0,52.0,52.0,53.0,53.0,57.0
47,47.0,David Agudelo,61.0,64.0,350000.0,500.0,15.0,8.0,14.0,30.0,11.0,12.0,12.0,13.0,28.0,15.0,33.0,35.0,38.0,55.0,40.0,43.0,50.0,20.0,60.0,9.0,28.0,12.0,9.0,25.0,14.0,30.0,9.0,20.0,15.0,60.0,65.0,57.0,55.0,61.0
11,11.0,Maxime Mignon,59.0,59.0,150000.0,2000.0,11.0,8.0,12.0,27.0,8.0,7.0,11.0,13.0,16.0,17.0,28.0,29.0,22.0,33.0,47.0,39.0,62.0,21.0,48.0,5.0,22.0,13.0,7.0,25.0,16.0,27.0,6.0,14.0,11.0,63.0,61.0,52.0,59.0,64.0
26,26.0,Ted Collins,54.0,65.0,200000.0,750.0,14.0,9.0,21.0,45.0,9.0,18.0,14.0,11.0,45.0,27.0,53.0,53.0,51.0,48.0,56.0,39.0,55.0,30.0,43.0,8.0,33.0,24.0,5.0,45.0,11.0,32.0,19.0,23.0,22.0,54.0,53.0,52.0,52.0,55.0
39,39.0,Mert Topuz,55.0,69.0,275000.0,1000.0,13.0,6.0,11.0,22.0,8.0,12.0,14.0,14.0,26.0,19.0,29.0,26.0,33.0,34.0,32.0,44.0,45.0,28.0,49.0,6.0,16.0,12.0,6.0,35.0,13.0,24.0,8.0,11.0,12.0,54.0,56.0,59.0,54.0,59.0
52,52.0,Kacper Tobiasz,66.0,78.0,1800000.0,1000.0,11.0,7.0,10.0,24.0,7.0,8.0,12.0,11.0,27.0,11.0,32.0,22.0,23.0,61.0,28.0,44.0,36.0,26.0,60.0,6.0,20.0,16.0,7.0,44.0,11.0,37.0,8.0,13.0,14.0,66.0,61.0,59.0,65.0,70.0
53,53.0,Pieter Bos,61.0,65.0,375000.0,950.0,10.0,7.0,12.0,19.0,6.0,9.0,11.0,12.0,26.0,19.0,28.0,28.0,36.0,49.0,24.0,44.0,30.0,18.0,62.0,7.0,20.0,10.0,7.0,24.0,17.0,31.0,8.0,14.0,13.0,63.0,62.0,58.0,60.0,63.0
58,58.0,Matthieu Epolo,57.0,77.0,400000.0,500.0,11.0,6.0,12.0,23.0,6.0,5.0,9.0,8.0,20.0,10.0,35.0,28.0,44.0,47.0,44.0,43.0,54.0,16.0,55.0,4.0,17.0,11.0,4.0,31.0,11.0,27.0,7.0,11.0,9.0,58.0,60.0,57.0,52.0,60.0
59,59.0,Brett Minnema,56.0,67.0,275000.0,800.0,14.0,6.0,10.0,17.0,8.0,13.0,10.0,14.0,15.0,12.0,18.0,21.0,28.0,47.0,22.0,41.0,33.0,23.0,61.0,6.0,21.0,6.0,4.0,26.0,17.0,33.0,7.0,14.0,11.0,58.0,55.0,55.0,52.0,61.0
3,3.0,Daniel Cárdenas Líndez,74.0,79.0,4900000.0,8000.0,10.0,5.0,12.0,40.0,8.0,13.0,11.0,13.0,49.0,16.0,45.0,43.0,55.0,73.0,42.0,53.0,69.0,26.0,52.0,5.0,21.0,6.0,5.0,34.0,17.0,42.0,13.0,13.0,12.0,76.0,69.0,71.0,70.0,79.0
14,14.0,Dylan Parkin,55.0,65.0,90000.0,1000.0,13.0,10.0,11.0,24.0,11.0,12.0,13.0,13.0,25.0,20.0,40.0,40.0,42.0,48.0,40.0,20.0,51.0,22.0,55.0,10.0,40.0,12.0,5.0,33.0,19.0,40.0,10.0,10.0,12.0,55.0,53.0,60.0,48.0,63.0
15,15.0,Alessandro Plizzari,66.0,78.0,1800000.0,700.0,13.0,5.0,20.0,36.0,17.0,21.0,15.0,19.0,26.0,23.0,45.0,37.0,57.0,47.0,33.0,44.0,63.0,25.0,54.0,19.0,16.0,13.0,6.0,35.0,15.0,53.0,16.0,20.0,13.0,68.0,68.0,59.0,62.0,72.0
21,21.0,Álvaro Fernández Llorente,72.0,77.0,2800000.0,5000.0,9.0,8.0,9.0,29.0,6.0,14.0,14.0,13.0,26.0,28.0,44.0,51.0,68.0,70.0,48.0,50.0,65.0,37.0,59.0,5.0,22.0,14.0,5.0,41.0,14.0,52.0,10.0,11.0,11.0,73.0,68.0,66.0,68.0,76.0
25,25.0,Jiří Pavlenka,78.0,78.0,9500000.0,21000.0,11.0,16.0,14.0,28.0,19.0,12.0,10.0,14.0,17.0,19.0,35.0,37.0,39.0,79.0,27.0,46.0,36.0,20.0,68.0,17.0,22.0,13.0,14.0,25.0,18.0,39.0,12.0,10.0,14.0,80.0,75.0,61.0,69.0,84.0
29,29.0,Yanick Marinus Paulus van Osch,70.0,73.0,1600000.0,6000.0,13.0,14.0,17.0,33.0,10.0,16.0,12.0,15.0,34.0,34.0,40.0,45.0,37.0,70.0,47.0,53.0,69.0,34.0,54.0,12.0,21.0,14.0,8.0,53.0,24.0,48.0,14.0,15.0,13.0,70.0,66.0,71.0,68.0,73.0
32,32.0,Oliver Christensen,73.0,79.0,3900000.0,15000.0,10.0,5.0,9.0,47.0,5.0,16.0,16.0,11.0,44.0,19.0,45.0,43.0,33.0,63.0,34.0,51.0,64.0,42.0,64.0,6.0,32.0,13.0,6.0,62.0,10.0,47.0,14.0,13.0,11.0,77.0,71.0,68.0,67.0,79.0
35,35.0,Carl Isak Emanuel Pettersson,70.0,76.0,2000000.0,8000.0,13.0,7.0,11.0,58.0,9.0,18.0,14.0,14.0,61.0,27.0,42.0,47.0,37.0,72.0,52.0,57.0,69.0,34.0,54.0,10.0,22.0,27.0,9.0,60.0,15.0,55.0,25.0,13.0,12.0,71.0,62.0,76.0,66.0,74.0
5,5.0,Damián Emiliano Martínez,84.0,84.0,29000000.0,95000.0,22.0,16.0,26.0,50.0,13.0,13.0,22.0,20.0,59.0,35.0,59.0,57.0,49.0,80.0,49.0,62.0,60.0,40.0,70.0,16.0,37.0,13.0,12.0,66.0,42.0,60.0,11.0,20.0,20.0,85.0,83.0,82.0,83.0,85.0
21,21.0,Gianluigi Buffon,78.0,78.0,1600000.0,3000.0,13.0,15.0,13.0,37.0,17.0,26.0,20.0,13.0,35.0,28.0,33.0,27.0,50.0,76.0,49.0,52.0,69.0,34.0,65.0,13.0,38.0,28.0,12.0,50.0,22.0,70.0,13.0,11.0,11.0,75.0,73.0,69.0,89.0,75.0
24,24.0,Thibaut Nicolas Marc Courtois,90.0,91.0,90000000.0,250000.0,14.0,14.0,13.0,33.0,12.0,13.0,19.0,20.0,35.0,23.0,42.0,52.0,63.0,84.0,45.0,56.0,68.0,38.0,70.0,17.0,23.0,15.0,13.0,44.0,27.0,66.0,20.0,18.0,16.0,84.0,89.0,75.0,89.0,90.0
26,26.0,David De Gea Quintana,87.0,87.0,42000000.0,150000.0,17.0,13.0,21.0,48.0,13.0,18.0,21.0,19.0,50.0,34.0,52.0,50.0,63.0,89.0,43.0,57.0,67.0,43.0,55.0,12.0,30.0,30.0,12.0,53.0,29.0,58.0,25.0,21.0,13.0,88.0,80.0,76.0,85.0,89.0
45,45.0,Kevin Leonardo Mier Robles,73.0,84.0,6000000.0,3000.0,14.0,10.0,9.0,24.0,9.0,9.0,20.0,12.0,16.0,20.0,44.0,42.0,46.0,71.0,50.0,50.0,70.0,35.0,44.0,8.0,30.0,8.0,5.0,48.0,20.0,28.0,8.0,11.0,12.0,72.0,70.0,67.0,70.0,77.0
3,3.0,Timmy Smith,50.0,63.0,90000.0,500.0,11.0,8.0,14.0,27.0,7.0,14.0,14.0,11.0,21.0,10.0,26.0,28.0,22.0,39.0,29.0,39.0,37.0,27.0,64.0,9.0,17.0,13.0,8.0,37.0,10.0,28.0,6.0,12.0,13.0,51.0,50.0,52.0,48.0,53.0
4,4.0,Elson Sithole,51.0,61.0,110000.0,500.0,15.0,6.0,15.0,33.0,9.0,8.0,12.0,14.0,29.0,19.0,23.0,32.0,24.0,42.0,42.0,37.0,63.0,28.0,38.0,7.0,21.0,15.0,5.0,23.0,19.0,30.0,10.0,13.0,14.0,48.0,55.0,49.0,48.0,52.0
8,8.0,Kyle Cooke,51.0,61.0,110000.0,500.0,12.0,8.0,11.0,26.0,9.0,7.0,12.0,10.0,24.0,15.0,20.0,22.0,34.0,44.0,45.0,38.0,51.0,23.0,47.0,8.0,25.0,13.0,9.0,35.0,19.0,25.0,13.0,13.0,12.0,52.0,52.0,50.0,49.0,51.0
28,28.0,Theo Sander,60.0,75.0,475000.0,500.0,14.0,10.0,13.0,30.0,6.0,18.0,28.0,13.0,34.0,35.0,34.0,36.0,38.0,52.0,39.0,44.0,56.0,30.0,62.0,8.0,24.0,14.0,6.0,54.0,20.0,38.0,6.0,14.0,13.0,59.0,60.0,59.0,62.0,61.0
30,30.0,Núbel Joaquín Silva González,64.0,70.0,750000.0,500.0,11.0,7.0,10.0,22.0,8.0,8.0,14.0,14.0,23.0,19.0,18.0,27.0,22.0,63.0,27.0,50.0,36.0,26.0,70.0,8.0,20.0,7.0,7.0,37.0,10.0,30.0,9.0,12.0,14.0,61.0,63.0,66.0,65.0,63.0
38,38.0,Yannick Pandor,59.0,67.0,450000.0,2000.0,10.0,6.0,16.0,22.0,8.0,6.0,14.0,10.0,14.0,19.0,19.0,22.0,26.0,54.0,41.0,41.0,57.0,23.0,51.0,7.0,26.0,12.0,9.0,28.0,11.0,24.0,7.0,15.0,11.0,61.0,58.0,54.0,57.0,58.0
42,42.0,Elmo Henriksson,53.0,68.0,190000.0,500.0,23.0,8.0,20.0,50.0,18.0,15.0,20.0,39.0,49.0,35.0,32.0,30.0,40.0,51.0,36.0,41.0,38.0,23.0,65.0,21.0,37.0,23.0,5.0,42.0,20.0,40.0,11.0,15.0,19.0,52.0,50.0,54.0,52.0,54.0
44,44.0,Rafael Marques,53.0,63.0,180000.0,500.0,13.0,8.0,11.0,25.0,8.0,9.0,14.0,11.0,18.0,13.0,28.0,25.0,26.0,40.0,48.0,40.0,58.0,28.0,47.0,8.0,26.0,14.0,9.0,23.0,13.0,28.0,7.0,15.0,14.0,54.0,59.0,53.0,48.0,52.0
46,46.0,早坂 勇希,58.0,65.0,350000.0,1000.0,15.0,7.0,11.0,28.0,8.0,12.0,13.0,13.0,23.0,14.0,48.0,48.0,53.0,48.0,43.0,43.0,68.0,28.0,73.0,7.0,19.0,8.0,9.0,34.0,13.0,23.0,8.0,11.0,15.0,62.0,56.0,57.0,49.0,64.0
5,5.0,周正凯,48.0,54.0,60000.0,1000.0,12.0,12.0,15.0,16.0,16.0,13.0,12.0,12.0,15.0,15.0,18.0,30.0,22.0,32.0,45.0,37.0,53.0,24.0,50.0,9.0,22.0,12.0,10.0,22.0,13.0,30.0,15.0,12.0,13.0,56.0,49.0,49.0,42.0,46.0
8,8.0,奚安杰,47.0,60.0,90000.0,500.0,13.0,8.0,12.0,22.0,7.0,9.0,12.0,10.0,26.0,12.0,30.0,23.0,29.0,33.0,26.0,40.0,30.0,25.0,51.0,10.0,19.0,14.0,10.0,25.0,12.0,22.0,12.0,13.0,15.0,50.0,45.0,53.0,45.0,48.0
13,13.0,梁锟,50.0,66.0,100000.0,500.0,15.0,10.0,12.0,26.0,8.0,12.0,13.0,14.0,20.0,13.0,26.0,29.0,24.0,35.0,26.0,38.0,30.0,18.0,50.0,6.0,16.0,13.0,10.0,28.0,12.0,26.0,16.0,12.0,15.0,48.0,50.0,50.0,52.0,52.0
19,19.0,Thomas Roche,58.0,68.0,375000.0,650.0,11.0,7.0,15.0,26.0,10.0,6.0,12.0,14.0,18.0,13.0,30.0,33.0,28.0,41.0,34.0,41.0,55.0,29.0,61.0,7.0,18.0,10.0,8.0,36.0,19.0,40.0,8.0,14.0,12.0,57.0,58.0,55.0,62.0,59.0
23,23.0,季家葆,50.0,63.0,100000.0,500.0,13.0,9.0,15.0,20.0,5.0,8.0,12.0,11.0,16.0,15.0,16.0,17.0,35.0,45.0,28.0,39.0,35.0,23.0,45.0,6.0,15.0,12.0,10.0,35.0,12.0,36.0,8.0,12.0,13.0,49.0,51.0,52.0,46.0,51.0
29,29.0,Bruno Poveda,64.0,76.0,1200000.0,500.0,13.0,8.0,11.0,28.0,5.0,14.0,11.0,11.0,16.0,13.0,58.0,35.0,49.0,45.0,50.0,46.0,65.0,45.0,68.0,9.0,20.0,11.0,4.0,37.0,11.0,33.0,7.0,14.0,10.0,64.0,68.0,61.0,69.0,62.0
30,30.0,李岳峰,50.0,60.0,80000.0,500.0,13.0,8.0,13.0,15.0,9.0,13.0,13.0,12.0,26.0,16.0,21.0,22.0,35.0,33.0,32.0,39.0,40.0,22.0,51.0,10.0,22.0,10.0,9.0,31.0,15.0,32.0,9.0,15.0,12.0,51.0,53.0,52.0,48.0,50.0
33,33.0,闫炳良,49.0,56.0,80000.0,1000.0,15.0,10.0,15.0,23.0,7.0,11.0,12.0,16.0,20.0,16.0,32.0,29.0,30.0,40.0,28.0,40.0,30.0,16.0,70.0,9.0,25.0,13.0,13.0,26.0,13.0,32.0,12.0,20.0,16.0,46.0,55.0,53.0,43.0,50.0
35,35.0,Alejandro Primo Hernández,58.0,69.0,350000.0,500.0,10.0,8.0,11.0,26.0,6.0,8.0,10.0,12.0,28.0,15.0,39.0,31.0,35.0,54.0,42.0,38.0,58.0,24.0,39.0,6.0,20.0,9.0,7.0,36.0,14.0,31.0,7.0,12.0,10.0,61.0,58.0,50.0,54.0,60.0
46,46.0,Emre Satılmış,58.0,63.0,240000.0,2000.0,12.0,7.0,11.0,23.0,5.0,9.0,13.0,11.0,15.0,19.0,16.0,20.0,27.0,50.0,22.0,44.0,33.0,23.0,62.0,7.0,27.0,9.0,8.0,24.0,14.0,39.0,5.0,13.0,10.0,62.0,59.0,58.0,54.0,56.0
51,51.0,Sam Karssies,57.0,69.0,350000.0,650.0,10.0,7.0,13.0,19.0,7.0,5.0,10.0,11.0,27.0,18.0,18.0,20.0,36.0,48.0,39.0,41.0,47.0,17.0,42.0,9.0,20.0,12.0,7.0,37.0,15.0,28.0,5.0,13.0,10.0,57.0,59.0,54.0,55.0,59.0
53,53.0,Barry Lauwers,61.0,66.0,400000.0,950.0,13.0,9.0,13.0,22.0,8.0,6.0,12.0,11.0,18.0,19.0,18.0,15.0,29.0,38.0,34.0,47.0,47.0,19.0,51.0,8.0,22.0,8.0,5.0,24.0,16.0,30.0,6.0,14.0,10.0,62.0,61.0,62.0,64.0,62.0
58,58.0,Frankarlos Benítez,58.0,69.0,375000.0,500.0,14.0,12.0,10.0,17.0,11.0,9.0,12.0,11.0,16.0,15.0,34.0,29.0,32.0,35.0,53.0,47.0,58.0,30.0,54.0,13.0,28.0,10.0,5.0,29.0,16.0,30.0,9.0,14.0,14.0,62.0,62.0,63.0,54.0,59.0
3,3.0,Mark McElhinney,48.0,60.0,40000.0,500.0,14.0,11.0,13.0,26.0,12.0,14.0,11.0,11.0,22.0,15.0,37.0,41.0,33.0,45.0,43.0,18.0,56.0,28.0,49.0,12.0,18.0,12.0,12.0,25.0,16.0,38.0,12.0,12.0,15.0,47.0,46.0,51.0,47.0,50.0
36,36.0,İrfan Can Eğribayat,69.0,73.0,1600000.0,16000.0,12.0,6.0,14.0,44.0,7.0,12.0,13.0,10.0,50.0,16.0,47.0,48.0,48.0,65.0,27.0,55.0,62.0,21.0,59.0,6.0,18.0,13.0,7.0,51.0,18.0,37.0,18.0,14.0,11.0,68.0,67.0,73.0,67.0,72.0
13,13.0,Predrag Rajković,78.0,81.0,14000000.0,21000.0,13.0,9.0,13.0,31.0,8.0,8.0,14.0,10.0,42.0,18.0,30.0,18.0,32.0,73.0,29.0,56.0,35.0,26.0,66.0,10.0,25.0,10.0,4.0,42.0,20.0,32.0,11.0,10.0,10.0,77.0,76.0,74.0,79.0,81.0
21,21.0,Carlos Miguel Coronel,73.0,77.0,3300000.0,5000.0,16.0,10.0,15.0,41.0,12.0,17.0,17.0,13.0,38.0,29.0,39.0,39.0,39.0,64.0,47.0,57.0,63.0,41.0,72.0,9.0,23.0,21.0,10.0,51.0,12.0,50.0,20.0,15.0,16.0,73.0,70.0,76.0,71.0,75.0
49,49.0,Josep Martínez Riera,71.0,75.0,2100000.0,17000.0,12.0,6.0,11.0,27.0,6.0,8.0,11.0,12.0,24.0,11.0,24.0,30.0,32.0,60.0,22.0,50.0,37.0,42.0,58.0,7.0,24.0,11.0,11.0,52.0,18.0,42.0,15.0,13.0,15.0,74.0,70.0,66.0,70.0,74.0
58,58.0,Kjell Scherpen,67.0,78.0,2000000.0,12000.0,11.0,9.0,10.0,26.0,8.0,12.0,12.0,13.0,25.0,17.0,37.0,46.0,37.0,62.0,42.0,50.0,42.0,37.0,69.0,8.0,25.0,7.0,8.0,34.0,12.0,51.0,14.0,11.0,10.0,69.0,65.0,66.0,67.0,67.0
2,2.0,Jay Gorter,71.0,82.0,3600000.0,6000.0,21.0,16.0,20.0,36.0,15.0,23.0,38.0,20.0,42.0,30.0,51.0,48.0,45.0,66.0,35.0,50.0,62.0,43.0,57.0,11.0,35.0,13.0,14.0,62.0,28.0,53.0,19.0,18.0,19.0,72.0,65.0,66.0,71.0,74.0
14,14.0,Noah Atubolu,65.0,78.0,1500000.0,3000.0,12.0,8.0,13.0,17.0,8.0,11.0,13.0,12.0,15.0,14.0,35.0,36.0,32.0,60.0,31.0,49.0,60.0,29.0,61.0,9.0,26.0,13.0,9.0,34.0,14.0,31.0,12.0,12.0,12.0,67.0,64.0,65.0,61.0,67.0
23,23.0,Lucas Becker,54.0,66.0,230000.0,650.0,14.0,6.0,13.0,23.0,8.0,11.0,13.0,13.0,20.0,12.0,29.0,22.0,31.0,45.0,27.0,41.0,32.0,17.0,60.0,6.0,20.0,15.0,7.0,34.0,14.0,27.0,6.0,10.0,12.0,54.0,51.0,55.0,52.0,57.0
25,25.0,James Trafford,66.0,78.0,1800000.0,8000.0,12.0,8.0,10.0,48.0,9.0,10.0,14.0,12.0,45.0,12.0,33.0,17.0,27.0,62.0,27.0,49.0,33.0,17.0,58.0,9.0,28.0,7.0,7.0,48.0,16.0,26.0,5.0,13.0,13.0,65.0,65.0,65.0,64.0,66.0
30,30.0,Carl Rushworth,65.0,77.0,1500000.0,7000.0,13.0,6.0,14.0,40.0,7.0,24.0,13.0,22.0,39.0,30.0,56.0,54.0,55.0,59.0,52.0,48.0,55.0,29.0,58.0,9.0,20.0,15.0,7.0,47.0,10.0,42.0,16.0,14.0,12.0,65.0,63.0,64.0,65.0,66.0
58,58.0,Alejandro Iturbe Encabo,65.0,80.0,1400000.0,950.0,14.0,11.0,12.0,32.0,8.0,13.0,14.0,13.0,30.0,20.0,52.0,46.0,51.0,55.0,50.0,48.0,56.0,32.0,54.0,9.0,22.0,10.0,6.0,40.0,20.0,35.0,8.0,11.0,13.0,65.0,63.0,64.0,64.0,67.0
8,8.0,Gianluca Pegolo,69.0,69.0,150000.0,6000.0,13.0,18.0,15.0,35.0,16.0,11.0,11.0,18.0,21.0,20.0,44.0,42.0,50.0,69.0,47.0,45.0,70.0,33.0,54.0,12.0,33.0,20.0,12.0,33.0,13.0,55.0,8.0,12.0,11.0,66.0,68.0,60.0,70.0,69.0
10,10.0,Asier Riesgo Unamuno,66.0,66.0,90000.0,2000.0,25.0,13.0,14.0,32.0,14.0,12.0,25.0,15.0,33.0,15.0,52.0,53.0,50.0,60.0,58.0,47.0,60.0,37.0,68.0,12.0,34.0,22.0,12.0,43.0,13.0,53.0,18.0,12.0,12.0,66.0,67.0,62.0,65.0,64.0
15,15.0,Andrés Eduardo Fernández Moreno,74.0,74.0,475000.0,5000.0,17.0,13.0,12.0,35.0,13.0,14.0,24.0,12.0,40.0,18.0,58.0,55.0,60.0,69.0,65.0,53.0,77.0,39.0,74.0,12.0,40.0,26.0,14.0,41.0,16.0,56.0,22.0,14.0,15.0,72.0,70.0,70.0,77.0,76.0
20,20.0,Charles Joseph John Hart,75.0,75.0,625000.0,22000.0,14.0,14.0,10.0,35.0,19.0,23.0,17.0,13.0,38.0,22.0,55.0,56.0,52.0,72.0,32.0,51.0,66.0,40.0,76.0,19.0,34.0,25.0,12.0,55.0,30.0,64.0,16.0,14.0,13.0,72.0,74.0,68.0,75.0,76.0
23,23.0,Falah Al Shammari,46.0,68.0,130000.0,500.0,14.0,7.0,12.0,22.0,9.0,10.0,10.0,14.0,18.0,15.0,33.0,33.0,36.0,44.0,43.0,30.0,55.0,19.0,30.0,5.0,16.0,10.0,7.0,27.0,10.0,25.0,6.0,10.0,11.0,48.0,43.0,40.0,41.0,48.0
32,32.0,Keo Boets,56.0,72.0,325000.0,500.0,12.0,9.0,11.0,22.0,9.0,9.0,14.0,11.0,26.0,13.0,15.0,31.0,27.0,45.0,38.0,44.0,50.0,22.0,50.0,7.0,23.0,10.0,8.0,34.0,10.0,28.0,8.0,13.0,10.0,61.0,53.0,58.0,48.0,62.0
33,33.0,Jasper Meijster,57.0,79.0,475000.0,500.0,12.0,7.0,11.0,15.0,7.0,8.0,14.0,10.0,16.0,12.0,22.0,19.0,38.0,40.0,45.0,45.0,59.0,17.0,54.0,5.0,20.0,8.0,6.0,24.0,16.0,22.0,6.0,11.0,10.0,56.0,58.0,60.0,59.0,58.0
